epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,386.772,0.77798,0.62091,1.03058,0.47893,0.51504,0.40591,0.17538,2.56433,2.39923,2.41382,0.000878274,0.000878274,0.000878274
111,390.155,0.81868,0.61371,1.01023,0.62525,0.4386,0.43838,0.19305,2.54643,2.411,2.40876,0.000873221,0.000873221,0.000873221
112,393.548,0.85228,0.67135,1.06576,0.54612,0.49109,0.44054,0.17705,2.60166,2.13007,2.44543,0.000868169,0.000868169,0.000868169
113,396.92,0.83912,0.62059,1.06206,0.59944,0.42105,0.44134,0.1562,2.67998,2.24628,2.49167,0.000863116,0.000863116,0.000863116
114,400.303,0.83241,0.61137,1.05823,0.63637,0.43381,0.47228,0.1722,2.77087,2.16936,2.59625,0.000858063,0.000858063,0.000858063
115,403.726,0.83695,0.62582,1.04435,0.50986,0.34127,0.36399,0.17115,2.60737,2.59542,2.46913,0.000853011,0.000853011,0.000853011
116,407.124,0.84262,0.61557,1.04737,0.66147,0.36842,0.41758,0.20114,2.5023,2.3307,2.38135,0.000847958,0.000847958,0.000847958
117,410.53,0.75971,0.56534,1.00342,0.58768,0.41171,0.46496,0.21896,2.50706,2.11573,2.39269,0.000842906,0.000842906,0.000842906
118,413.906,0.79002,0.60483,1.03816,0.61829,0.45136,0.44752,0.19169,2.61788,2.11888,2.45495,0.000837853,0.000837853,0.000837853
119,417.291,0.78035,0.62876,1.03621,0.52027,0.42866,0.42779,0.17029,2.72239,2.08837,2.62753,0.000832801,0.000832801,0.000832801
120,420.676,0.79613,0.57533,1.017,0.47342,0.42848,0.38712,0.15414,2.90135,2.24209,2.72056,0.000827748,0.000827748,0.000827748
121,424.038,0.75887,0.58927,1.02565,0.55017,0.32536,0.35021,0.1219,2.83029,2.32288,2.70857,0.000822696,0.000822696,0.000822696
122,427.414,0.75584,0.54402,1.02594,0.42109,0.48644,0.44235,0.16689,2.72643,2.13215,2.49837,0.000817643,0.000817643,0.000817643
123,430.773,0.72774,0.53219,0.99793,0.72207,0.30781,0.38706,0.17192,2.63348,2.5306,2.42276,0.000812591,0.000812591,0.000812591
124,434.177,0.7591,0.56,1.02654,0.64221,0.45246,0.47893,0.19075,2.50913,2.35777,2.34405,0.000807538,0.000807538,0.000807538
125,437.612,0.78132,0.57553,1.04115,0.60415,0.47687,0.53874,0.21054,2.43994,2.08607,2.26786,0.000802486,0.000802486,0.000802486
126,440.981,0.7986,0.5634,1.02941,0.55513,0.43745,0.47623,0.20009,2.51764,1.85247,2.25381,0.000797433,0.000797433,0.000797433
